Card Number,Card Name,Type,Note 1,Note 2,Note 3,Number,Contraband,Requirement 1,Requirement 2,Requirement 3,Tally
NUMBER,NULL,NULL,NULL,NULL,NULL,243,NULL,NULL,NULL,NULL,
1,Tenpenny Zog,Hero,Sabotage: Disable two modules and their effects in a rival's tavern for today,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Bandit,1,1
2,Zheza the Booming,Hero,Sabotage: Disable two modules and their effects in a rival's tavern for today,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Bandit,1,2
3,Kruuzin Bruuz,Hero,Sabotage: Disable two modules and their effects in a rival's tavern for today,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Bandit,1,3
4,Krash,Hero,Sabotage: Disable two modules and their effects in a rival's tavern for today,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Bandit,1,4
5,Freddie Dusthoof,Hero,Sabotage: Disable two modules and their effects in a rival's tavern for today,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Bandit,1,5
6,Pronghorn Joe,Hero,A Persuasive Ballad: Entice a townsfolk from another tavern into yours. Clear their rage.,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Vaudevillian,2,6
7,Gargos The Charmer,Hero,A Persuasive Ballad: Entice a townsfolk from another tavern into yours. Clear their rage.,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Vaudevillian,2,7
8,Kellie Crowdlifter,Hero,A Persuasive Ballad: Entice a townsfolk from another tavern into yours. Clear their rage.,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Vaudevillian,2,8
9,Bobo Bohrs,Hero,A Persuasive Ballad: Entice a townsfolk from another tavern into yours. Clear their rage.,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Vaudevillian,2,9
10,Squingle Sageleaf,Hero,Friendly Invitation: For 3 total drinks immediately bring an unbid or 1-bid visitor into tavern,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Ranger,2,10
11,Dimm Dougan,Hero,Friendly Invitation: For 3 total drinks immediately bring an unbid or 1-bid visitor into tavern,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Ranger,2,11
12,Koro Meadowrunner,Hero,Friendly Invitation: For 3 total drinks immediately bring an unbid or 1-bid visitor into tavern,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Ranger,2,12
13,Chuck Rucker,Hero,Calming Elixir: Remove rage token from tavern,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Elixirist,3,13
14,Ezekiel Rustmane,Hero,Calming Elixir: Remove rage token from tavern,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Elixirist,3,14
15,Brahl the Mechnomancer ,Hero,Calming Elixir: Remove rage token from tavern,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Elixirist,3,15
16,Roary Ironhide,Hero,Town Klaxon: Every other tavern gains one peeve,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Contraptioneer,3,16
17,Lugnut Wallins,Hero,Town Klaxon: Every other tavern gains one peeve,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Contraptioneer,3,17
18,Kallax Redbridge,Hero,Town Klaxon: Every other tavern gains one peeve,Commiseration: A drink must remain on this card until dawn. Does not stack.,,1,,Buffalonian,Contraptioneer,3,18
19,Stabbin' Dave,Hero,Sabotage: Disable two modules and their effects in a rival's tavern for today,Minor Inconveniences: Reveal townsfolk and revealed townsfolk rage,,1,,Mousefolk,Bandit,1,19
20,Finn Softpaw,Hero,Sabotage: Disable two modules and their effects in a rival's tavern for today,Minor Inconveniences: Reveal townsfolk and revealed townsfolk rage,,1,,Mousefolk,Bandit,1,20
